fig,file,objectid,action,category,title
1,fig-001_paul-b-johnson-hall-of-social-science.png,coll085,updated imported,context,Paul B. Johnson Hall of Social Science
2,fig-002_social-sciences-building-later-johnson-hall-jackson-state-university-1944-photograph.png,coll086,updated imported,context,"Social Sciences Building, later Johnson Hall, Jackson State University"
3,fig-003_president-jacob-l-reddix-receiving-a-citation-from-governor-paul-b-johnson-jr-with-a-portrait-of-governor.png,coll087,updated imported,context,"President Jacob L. Reddix receiving a citation from Governor Paul B. Johnson Jr., with portrait of Governor Paul B. Johnson Sr. in the background"
4,fig-004_hale-aspacio-woodruff-portrait-of-paul-johnson-sr-1943.png,coll048,updated existing,object,"Portrait of Paul Johnson, Sr."
5,fig-005_frederick-flemister-the-plotters-1940-oil-on-canvas.png,coll046,updated existing,object,The Plotters
6,fig-006_vertis-hayes-in-front-of-the-carver-mural-johnson-hall.png,coll088,updated imported,context,"Vertis Hayes in front of the Carver Mural, Johnson Hall, Jackson State University"
7,fig-007_vertis-hayes-the-carver-mural.png,coll089,updated imported,context,The Carver Mural
8,fig-008_detail-of-the-carver-mural-1944.png,coll090,updated imported,context,Detail of The Carver Mural
9,fig-009_applied-textiles-and-craft-display-associated-with-maria-joness-teaching-jackson-state-university-department-of-art-n-d-photograph.png,coll091,updated imported,context,"Applied arts or crafts display associated with Maria Jones’s teaching, Jackson State University Department of Art"
10,fig-010_lawrence-a-jones-leading-a-painting-class-jackson-state-university-department-of-art-n-d-photograph.png,coll092,updated imported,context,"Lawrence A. Jones leading a painting class, Jackson State University Department of Art"
11,fig-011_freshman-art-majors-jackson-state-university-1952-yearbook-photograph.png,coll093,updated imported,context,"Freshman art majors, Jackson State University"
12,fig-012_lawrence-a-jones-portrait-of-dr.png,coll045,updated existing,object,Portrait of Dr. Julius Henry Taylor
13,fig-013_lawrence-a-jones-unveiling-a-portrait-of-dr-h-t-sampson-jackson-state-university-n-d-photograph.png,coll094,updated imported,context,"Lawrence A. Jones unveiling a portrait of Dr. H. T. Sampson, Jackson State University"
