objectid,accession_number,filename,youtubeid,vimeoid,title,creator,date,attribution,medium,dimensions,edition,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,JSUART-2021-001,catalog-thumbs/fig-056_left-unknown-19th-century-african-american-portrait.png,,,Nineteenth-Century African American Portrait,Unknown,n.d.,,Medium unknown,19.6 x 15 in,,"A sepia‑toned, head‑and‑shoulders portrait rendered in charcoal and pastel. The sitter stares directly out, and his closely cropped hair frames a strong brow and well‑defined cheekbones. He wears a high‑collared dark jacket over a subtly striped shirt, the lapels sharply defined. The background is mottled, with faint tonal gradations that set off the sitter’s luminous features.",Portraiture,"Mississippi, United States",32.3547,-89.3985,JSU Department of Art collection catalog,Fig. 56,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll002,JSUART-2021-002,catalog-thumbs/fig-057_artist-not-currently-known-portrait-after-a-historic-african-american-photograph-n-d-medium-unknown-19-6-x-15-in.png,,,Nineteenth-Century African American Portrait,Unknown,n.d.,,Medium unknown,19.6 x 15 in,,"A softly lit, mid‑tone charcoal and pastel drawing from the shoulders up. Her hair is parted at center and pulled back, revealing delicate earrings. She gazes just past the viewer, her expression serene and self‑possessed. She wears a high‑necked dark blouse with subtle pleating at the collar. The paper has warm sepia tones and slight age‑spotting around the edges.",Portraiture,"Mississippi, United States",32.3547,-89.3985,JSU Department of Art collection catalog,Fig. 57,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll003,JSUART-2021-003,catalog-thumbs/fig-021_karl-griffin-juanita-n-d.png,,,Juanita,Karl Griffin,c. 1950s,,Oil on canvas,31.5 x 23.5 in,,"A semi-realistic oil painting of a nude woman with a contemplative expression. The subdued color palette and soft brushwork create a sense of intimacy and introspection. The shading and highlights emphasize the contours of her body, bringing depth to the figure.",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 21,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll004,JSUART-1968-001,catalog-thumbs/fig-071_thomas-eloby-self-portrait-1968-ink-on-paper.png,,,Self-Portrait,Thomas E. Eloby II,1968,,Ink on paper,6.25 x 8.25 in,,"A self-portrait in ink on paper of the artist, Thomas Eloby.",Portraiture,"Clarksdale, Mississippi, United States",34.1998,-90.573,JSU Department of Art collection catalog,Fig. 71,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll005,JSUART-2021-004,catalog-thumbs/fig-072_thomas-eloby-landscape-n-d.png,,,Landscape,Thomas E. Eloby II,c. 1960s,,Oil on canvas,36 x 24 in,,An impressionistic landscape scene. ,Landscape,"Clarksdale, Mississippi, United States",34.1998,-90.573,JSU Department of Art collection catalog,Fig. 72,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll006,JSUART-2021-005,Unknown3.jpg,,,Brown and Gold Abstract,Unknown,,,,,,"An energetic abstract painting on a warm cream background. Thick, looping bands of dark brown outline large circular and ovoid shapes, inside which blocks of russet, olive green, and pale gray interlock. Fine white strokes traverse the forms like calligraphic accents, while areas of exposed paper peek through, balancing the composition. The overall effect is rhythmic and organic.",Abstract,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll007,JSUART-2021-006,Coleman1.jpg,,,Large figure and football field,"Coleman, Floyd",,,,,,"An abstract exploration of motion and energy, this composition blends sweeping black ink strokes with subtle watercolor washes. The calligraphic forms and layered textures create a dynamic interplay, evoking a sense of movement and spontaneity.",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Permanent Collection,,Image;StillImage,image/jpeg,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll008,JSUART-2021-007,catalog-thumbs/fig-036_brockford-gordon-kneeling-football-player-n-d.png,,,Kneeling Football Player,Brockford Gordon,c. 1975,,Photograph on foam board,,,"A color photograph of an American football player wearing a dark uniform with the number 97 on the back. He is kneeling on the sideline, resting his hand on his helmet. ",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 36,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll009,JSUART-1963-001,Federico.jpg,,,Untitled “Abstract Urban Landscape”,Federico,1963,,,,,"A semi-abstract cityscape filled with dynamic energy and movement. The layered washes of color create an atmospheric depth, while the bold, gestural ink lines evoke an urban environment in flux. ",City,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll010,JSUART-2021-008,catalog-thumbs/fig-074_ron-schnell-landscape-with-a-bridge-n-d.png,,,Landscape with a Bridge,Ronald O. Schnell,c. 1960s,,Oil on canvas,44 x 42 in,,An impressionistic landscape of a stone bridge over a forested stream. A single-arch bridge spans gently flowing water at the canvas’s center. ,Landscape,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 74,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll016,JSUART-1979-001,catalog-thumbs/fig-086_lucky-sibiya-women-with-animals-1979.png,,,Women with Animals,Lucky Sibiya,1979,,Silkscreen on paper,19.5 x 27.25 in,ed. 144/250,"An abstracted composition of interlocking black silhouettes of human figures and animal forms are outlined in burnt sienna, olive and turquoise. The flattened shapes dance across the terracotta ground.",Figure,"Johannesburg, South Africa",-26.2041,28.0473,JSU Department of Art collection catalog,Fig. 86,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll018,JSUART-2021-010,catalog-thumbs/fig-088_hargreaves-ntukwana-figure-with-jug-n-d-14-25x10.png,,,Figure with Jug,Hargreaves Ntukwana,c. 1970s,,Mixed media on paper,14.25 x 10 in,,"A stylized representation of a musician playing a stringed instrument. The geometric abstraction of the figure is reminiscent of modernist painting styles, with a mix of warm and cool tones creating depth. ",Figure,"Johannesburg, South Africa",-26.2041,28.0473,JSU Department of Art collection catalog,Fig. 88,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll020,JSUART-2021-012,catalog-thumbs/fig-087_hargreaves-ntukwana-figure-with-small-bird-n-d-20-x-28-25.png,,,Figure with Small Bird,Hargreaves Ntukwana,c. 1970s,,Mixed media on paper,20 x 28.25 in,,"A seated figure playing a stringed instrument, with a rounded form suggesting a shell or protective space. ",Figure,"Johannesburg, South Africa",-26.2041,28.0473,JSU Department of Art collection catalog,Fig. 87,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll021,JSUART-2021-013,catalog-thumbs/fig-091_eli-kobeli-musicians-n-d-chalk-on-paper.png,,,Musicians,Eli Kobeli,c. 1970,,Chalk on paper,36 x 22.5 in,,This painting presents a dynamic depiction of a blues guitarist enveloped in an expressive mix of warm and cool colors. The use of contour lines and fluid brushstrokes creates a sense of rhythm and movement.,Figure,"Johannesburg, South Africa",-26.2041,28.0473,JSU Department of Art collection catalog,Fig. 91,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll022,JSUART-1997-001,Freeman.jpg,,,Photographs; 1 portfolio (12 photographic prints) Edition 13/45,"Freeman, Rowland",1997,,,,,"A powerful documentary portfolio of photographs exuding a sense of history, resilience, and community. ",Portraiture,"Baltimore, United States",39.2904,-76.6122,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll024,JSUART-1966-001,catalog-thumbs/fig-078_cliff-johnson-haunted-house.png,,,Haunted House,Cliff Johnson,1966,,Medium unknown,17 x 22.5 in,,"A watercolor painting depicting an old, possibly abandoned, wooden house in a rural landscape. The atmospheric rendering of the sky and the weathered appearance of the house suggest themes of nostalgia, decay, and the passage of time.",Landscape,"Georgia, United States",32.1656,-82.9001,JSU Department of Art collection catalog,Fig. 78,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll025,JSUART-1967-001,catalog-thumbs/fig-095_edward-colker-sign-and-symbol-106-210-1967.png,,,Sign and Symbol,Edward Colker,1967,,Lithograph in color,106/210,ed. 106/210,"A fluid, gestural composition, this piece features expressive ink strokes combined with delicate, atmospheric washes of color. The interplay of controlled and spontaneous marks creates a sense of transformation, evoking the expressive potential of abstraction.",Abstract,"Mount Kisco, New York, United States",41.2007,-73.7178,JSU Department of Art collection catalog,Fig. 95,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll030,JSUART-2021-014,catalog-thumbs/fig-041_anderson-macklin-abstract-landscape-n-d.png,,,Abstract Landscape,Anderson Macklin,c. 1990,,Oil on canvas,23.5 x 36 in,,"A minimalistic winter landscape with a barren tree at the center. The subdued color palette and delicate brushstrokes create a tranquil and contemplative mood, emphasizing nature’s quiet beauty.",Landscape,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 41,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll031,JSUART-1973-001,Angela.jpg,,,Impressioned Landscape,"M, Angela",1973,,,,,"This impressionistic landscape captures a serene natural environment with rich, textured brushstrokes. ",Landscape,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU permanent collection,,Image;StillImage,image/jpeg,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll033,JSUART-1970-001,catalog-thumbs/fig-032_floyd-willis-coleman-study-17-c.png,,,Study #17,Floyd Willis Coleman,c. 1970s,,,,,"This abstract work juxtaposes organic and geometric forms, layering earthy tones with bold black shapes. The textured application of color and composition gives it a sculptural presence, with forms that seem to emerge from the surface. The contrast between soft washes and stark lines creates a compelling visual dynamic.",Abstract,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 32,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll034,JSUART-1980-001,catalog-thumbs/fig-053_dominic-azogini-untitled-sketch-of-a-man-c.png,,,Untitled (Sketch of a Man),Dominic Azogini,c. 1980s,,Medium unknown,18 x 23 in,,"This emotionally charged portrait captures a figure in a moment of introspection. The rough, expressive linework makes this piece feel both intimate and universal.",Portraiture,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 53,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll035,JSUART-1980-002,catalog-thumbs/fig-055_attma-passage-ca-1980-engraving.png,,,Passage,Attma,c. 1980,,Engraving,,,"A striking monochrome print, this piece presents silhouetted figures in a deeply contemplative pose. The composition features a central figure holding a child, contrasted against a background of rhythmic, gestural linework. The use of light and shadow emphasizes the quiet intimacy between the subjects, evoking themes of family, memory, and resilience.",Figure,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 55,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll036,JSUART-1967-002,catalog-thumbs/fig-096_william-majors-burning-bush-72-110-1967.png,,,Burning Bush,William Majors,1967,,Etching in sepia,72/110,ed. 72/110,"A complex, highly detailed black and white etching, featuring an explosion of abstract forms and fine line work. The piece invites close inspection, as intricate organic shapes seem to emerge from the background.",Abstract,"Pennsylvania, United States",41.2033,-77.1945,JSU Department of Art collection catalog,Fig. 96,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll037,JSUART-1965-001,catalog-thumbs/fig-099_herbert-lewis-fink-the-foot-path-137-210-1965.png,,,The Foot Path,Herbert Lewis Fink,1965,,Etching,17 1/8 x 21 3/8 in,ed. 137/210,"A meticulously detailed landscape drawing that leads the viewer’s eye down a narrow path cutting through overgrown grass. The intricate linework captures the texture of the foliage, creating a rich sense of movement and organic life. ",Landscape,"Providence, Rhode Island, United States",41.8236,-71.4222,JSU Department of Art collection catalog,Fig. 99,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll038,JSUART-2021-015,catalog-thumbs/fig-094_jeane-b-oosting.png,,,Autumn,Jeanne Bieruma Oosting,n.d.,,acquired 1966. Linocut in color,"Linocut in color, ed. 127/210",ed. 127/210,A stylized still‑life of fruit rendered in an autumnal palette. ,Still Life,"The Hague, Holland",52.0705,4.3007,JSU Department of Art collection catalog,Fig. 94,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll039,JSUART-2000-002,catalog-thumbs/fig-048_lester-julian-merriweather-foundations-2000.png,,,Foundations,Lester Julian Merriweather,2000,,Photograph,,,A black-and-white photograph that captures an intimate moment between an elderly man and a baby. ,Portraiture,"Jackson, Mississippi, United States",32.2988,-90.1848,JSU Department of Art collection catalog,Fig. 48,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
coll042,JSUART-1966-002,catalog-thumbs/fig-098_robert-malone-spring-night-123-210-1966.png,,,Spring Night,Robert R. Malone,1966,,Etching in color,20 x 16 in,ed. 123/210,"A textured, abstract print featuring an earthy green background with scratch-like marks and a white crescent shape. The raw, expressive quality suggests a connection to nature or the passage of time.",Abstract,"Edwardsville, Illinois, United States",38.8106,-89.9536,JSU Department of Art collection catalog,Fig. 98,Image;StillImage,image/png,,JSU,All rights reserved. Reproduction or redistribution requires written permission from the Jackson State University Department of Art.
